mes;campo;esperado;api;diferenca;ok
2026-07;atendimentos_criados;55;-;-;-
2026-07;atendimentos_EXECUTADO;47;47;0;true
2026-07;atendimentos_CANCELADO;8;-;-;-
2026-07;atendimentos_AGENDADO;0;-;-;-
2026-07;faturamento_bruto;7228;7228.00;0;true
2026-07;receita_recebida;6349.82;6349.82;0;true
2026-07;total_pendente;878.18;878.18;0;true
2026-07;lucro_liquido_atendimentos;3011.46;3011.46;0;true
2026-07;receita_homecare;773;773.00;0;true
2026-07;lucro_homecare;479;479.00;0;true
2026-07;receita_paralelos;412;412.00;0;true
2026-07;total_despesas;180;180.00;0;true
2026-07;total_gastos_pessoais;770;770.00;0;true
2026-07;salarios_fixos;3000;3000.00;0;true
2026-08;atendimentos_criados;48;-;-;-
2026-08;atendimentos_EXECUTADO;41;41;0;true
2026-08;atendimentos_CANCELADO;7;-;-;-
2026-08;atendimentos_AGENDADO;0;-;-;-
2026-08;faturamento_bruto;6074;6074.00;0;true
2026-08;receita_recebida;5488.05;5488.05;0;true
2026-08;total_pendente;585.95;585.95;0;true
2026-08;lucro_liquido_atendimentos;2988.3;2988.30;0;true
2026-08;receita_homecare;936;936.00;0;true
2026-08;lucro_homecare;630;630.00;0;true
2026-08;receita_paralelos;426;426.00;0;true
2026-08;total_despesas;0;0;0;true
2026-08;total_gastos_pessoais;570;570.00;0;true
2026-08;salarios_fixos;3000;3000.00;0;true
2026-09;atendimentos_criados;42;-;-;-
2026-09;atendimentos_EXECUTADO;36;36;0;true
2026-09;atendimentos_CANCELADO;4;-;-;-
2026-09;atendimentos_AGENDADO;2;-;-;-
2026-09;faturamento_bruto;4367;4367.00;0;true
2026-09;receita_recebida;3943.55;3943.55;0;true
2026-09;total_pendente;423.45;423.45;0;true
2026-09;lucro_liquido_atendimentos;1568.07;1568.07;0;true
2026-09;receita_homecare;778;778.00;0;true
2026-09;lucro_homecare;475;475.00;0;true
2026-09;receita_paralelos;398;398.00;0;true
2026-09;total_despesas;340;340.00;0;true
2026-09;total_gastos_pessoais;600;600.00;0;true
2026-09;salarios_fixos;3000;3000.00;0;true
2026-07;total_despesas_apos_complemento;730;180.00;-550;false
2026-08;total_despesas_apos_complemento;830;0;-830;false
2026-09;total_despesas_apos_complemento;750;340.00;-410;false
